estado,cuenca,subcuenca,estacion,paso
new,GTERRA(Central Rincón del Bonete),SARNEGRO(Alto Río Negro),BVISTA(Buena Vista),AGUIAR(Aguiar)
new,GTERRA(Central Rincón del Bonete),SARNEGRO(Alto Río Negro),BVISTA(Buena Vista),MAZAN(Mazangano)
new,GTERRA(Central Rincón del Bonete),SARNEGRO(Alto Río Negro),BVISTA(Buena Vista),PEREI(Pereira)
new,GTERRA(Central Rincón del Bonete),SARNEGRO(Alto Río Negro),BVISTA(Buena Vista),PPIEDRAS(Paso Las Piedras)
new,GTERRA(Central Rincón del Bonete),SARNEGRO(Alto Río Negro),CARANORTE(Caraguatá Norte),AGUIAR(Aguiar)
new,GTERRA(Central Rincón del Bonete),SARNEGRO(Alto Río Negro),CARANORTE(Caraguatá Norte),MAZAN(Mazangano)
new,GTERRA(Central Rincón del Bonete),SARNEGRO(Alto Río Negro),CARANORTE(Caraguatá Norte),PEREI(Pereira)
new,GTERRA(Central Rincón del Bonete),SARNEGRO(Alto Río Negro),CARANORTE(Caraguatá Norte),PPIEDRAS(Paso Las Piedras)
new,GTERRA(Central Rincón del Bonete),SARNEGRO(Alto Río Negro),CARASUR(Caraguatá Sur),AGUIAR(Aguiar)
new,GTERRA(Central Rincón del Bonete),SARNEGRO(Alto Río Negro),CARASUR(Caraguatá Sur),MAZAN(Mazangano)
new,GTERRA(Central Rincón del Bonete),SARNEGRO(Alto Río Negro),CARASUR(Caraguatá Sur),PEREI(Pereira)
new,GTERRA(Central Rincón del Bonete),SARNEGRO(Alto Río Negro),CARASUR(Caraguatá Sur),PPIEDRAS(Paso Las Piedras)
new,GTERRA(Central Rincón del Bonete),SARNEGRO(Alto Río Negro),CCARMEN(Cuchilla del Carmen),AGUIAR(Aguiar)
new,GTERRA(Central Rincón del Bonete),SARNEGRO(Alto Río Negro),CCARMEN(Cuchilla del Carmen),MAZAN(Mazangano)
new,GTERRA(Central Rincón del Bonete),SARNEGRO(Alto Río Negro),CCARMEN(Cuchilla del Carmen),PEREI(Pereira)
new,GTERRA(Central Rincón del Bonete),SARNEGRO(Alto Río Negro),CCARMEN(Cuchilla del Carmen),PPIEDRAS(Paso Las Piedras)
new,GTERRA(Central Rincón del Bonete),SARNEGRO(Alto Río Negro),CCHATO(Cerro Chato),AGUIAR(Aguiar)
new,GTERRA(Central Rincón del Bonete),SARNEGRO(Alto Río Negro),CCHATO(Cerro Chato),MAZAN(Mazangano)
new,GTERRA(Central Rincón del Bonete),SARNEGRO(Alto Río Negro),CCHATO(Cerro Chato),PEREI(Pereira)
new,GTERRA(Central Rincón del Bonete),SARNEGRO(Alto Río Negro),CCHATO(Cerro Chato),PPIEDRAS(Paso Las Piedras)
new,GTERRA(Central Rincón del Bonete),SARNEGRO(Alto Río Negro),CCUENTAS(Cerro de la Cuentas),AGUIAR(Aguiar)
new,GTERRA(Central Rincón del Bonete),SARNEGRO(Alto Río Negro),CCUENTAS(Cerro de la Cuentas),MAZAN(Mazangano)
new,GTERRA(Central Rincón del Bonete),SARNEGRO(Alto Río Negro),CCUENTAS(Cerro de la Cuentas),PEREI(Pereira)
new,GTERRA(Central Rincón del Bonete),SARNEGRO(Alto Río Negro),CCUENTAS(Cerro de la Cuentas),PPIEDRAS(Paso Las Piedras)
new,GTERRA(Central Rincón del Bonete),SARNEGRO(Alto Río Negro),CENTUR(Centurión),AGUIAR(Aguiar)
new,GTERRA(Central Rincón del Bonete),SARNEGRO(Alto Río Negro),CENTUR(Centurión),MAZAN(Mazangano)
new,GTERRA(Central Rincón del Bonete),SARNEGRO(Alto Río Negro),CENTUR(Centurión),PEREI(Pereira)
new,GTERRA(Central Rincón del Bonete),SARNEGRO(Alto Río Negro),CENTUR(Centurión),PPIEDRAS(Paso Las Piedras)
new,GTERRA(Central Rincón del Bonete),SARNEGRO(Alto Río Negro),CERRILLADA(Cerrillada),AGUIAR(Aguiar)
new,GTERRA(Central Rincón del Bonete),SARNEGRO(Alto Río Negro),CERRILLADA(Cerrillada),MAZAN(Mazangano)
new,GTERRA(Central Rincón del Bonete),SARNEGRO(Alto Río Negro),CERRILLADA(Cerrillada),PEREI(Pereira)
new,GTERRA(Central Rincón del Bonete),SARNEGRO(Alto Río Negro),CERRILLADA(Cerrillada),PPIEDRAS(Paso Las Piedras)
new,GTERRA(Central Rincón del Bonete),SARNEGRO(Alto Río Negro),CFARRUCO(Capilla Farruco),AGUIAR(Aguiar)
new,GTERRA(Central Rincón del Bonete),SARNEGRO(Alto Río Negro),CFARRUCO(Capilla Farruco),MAZAN(Mazangano)
