cuenca,subcuenca,estacion
GTERRA(Central Rincón del Bonete),SARNEGRO(Alto Río Negro),TBOLICHE(Tres Boliches)
GTERRA(Central Rincón del Bonete),SARNEGRO(Alto Río Negro),TISLAS(Tres Islas)
GTERRA(Central Rincón del Bonete),SARNEGRO(Alto Río Negro),VICHA(Vichadero)
GTERRA(Central Rincón del Bonete),SDTERRA(Directa Rincón del Bonete),ACHAR(Achar)
GTERRA(Central Rincón del Bonete),SDTERRA(Directa Rincón del Bonete),BLANQUI(Blanquillo)
GTERRA(Central Rincón del Bonete),SDTERRA(Directa Rincón del Bonete),CARDOZO(Cardozo)
GTERRA(Central Rincón del Bonete),SDTERRA(Directa Rincón del Bonete),CFARRUCO(Capilla Farruco)
GTERRA(Central Rincón del Bonete),SDTERRA(Directa Rincón del Bonete),CLARA(Clara)
GTERRA(Central Rincón del Bonete),SDTERRA(Directa Rincón del Bonete),CURTINA(Curtina)
GTERRA(Central Rincón del Bonete),SDTERRA(Directa Rincón del Bonete),ELIBERIA(Est. La Iberia)
GTERRA(Central Rincón del Bonete),SDTERRA(Directa Rincón del Bonete),EMBONETE(E.M. Bonete)
GTERRA(Central Rincón del Bonete),SDTERRA(Directa Rincón del Bonete),EOLAZO(Est. Olazo)
GTERRA(Central Rincón del Bonete),SDTERRA(Directa Rincón del Bonete),LPALOMA(La Paloma)
GTERRA(Central Rincón del Bonete),SDTERRA(Directa Rincón del Bonete),PCUADRA(Paso de los Cuadrados)
GTERRA(Central Rincón del Bonete),SDTERRA(Directa Rincón del Bonete),PERALTA(Peralta)
GTERRA(Central Rincón del Bonete),SDTERRA(Directa Rincón del Bonete),PHONDO(Paso Hondo)
GTERRA(Central Rincón del Bonete),SDTERRA(Directa Rincón del Bonete),PRAMIR(Paso Ramírez)
GTERRA(Central Rincón del Bonete),SDTERRA(Directa Rincón del Bonete),PSOLA(Piedra Sola)
GTERRA(Central Rincón del Bonete),SDTERRA(Directa Rincón del Bonete),SGREGO(San Gregorio)
GTERRA(Central Rincón del Bonete),SDTERRA(Directa Rincón del Bonete),SJORGE(San Jorge)
GTERRA(Central Rincón del Bonete),STACUA(Tacuarembó),ANSINA(Ansina)
GTERRA(Central Rincón del Bonete),STACUA(Tacuarembó),CARANORTE(Caraguatá Norte)
GTERRA(Central Rincón del Bonete),STACUA(Tacuarembó),CARASUR(Caraguatá Sur)
GTERRA(Central Rincón del Bonete),STACUA(Tacuarembó),CLARA(Clara)
GTERRA(Central Rincón del Bonete),STACUA(Tacuarembó),COMBU(Cuchilla del Ombú)
GTERRA(Central Rincón del Bonete),STACUA(Tacuarembó),CPELADO(Cerro Pelado)
GTERRA(Central Rincón del Bonete),STACUA(Tacuarembó),CSAUCES(Cinco Sauces)
GTERRA(Central Rincón del Bonete),STACUA(Tacuarembó),CTRAVIE(Cerro Travieso)
GTERRA(Central Rincón del Bonete),STACUA(Tacuarembó),CUÑAPIRU(Cuñapirú)
GTERRA(Central Rincón del Bonete),STACUA(Tacuarembó),EATAQUES(Est. Ataques)
GTERRA(Central Rincón del Bonete),STACUA(Tacuarembó),EMRIVERA(E.M. Rivera)
GTERRA(Central Rincón del Bonete),STACUA(Tacuarembó),EMTACUA(E.M. Tacuarembó)
GTERRA(Central Rincón del Bonete),STACUA(Tacuarembó),LAGUNAII(Laguna II)
GTERRA(Central Rincón del Bonete),STACUA(Tacuarembó),LCALERA(La Calera)
GTERRA(Central Rincón del Bonete),STACUA(Tacuarembó),LHILERA(La Hilera)
GTERRA(Central Rincón del Bonete),STACUA(Tacuarembó),LPUENTE(La Puente)
GTERRA(Central Rincón del Bonete),STACUA(Tacuarembó),LUJAN(Luján)
GTERRA(Central Rincón del Bonete),STACUA(Tacuarembó),MCORRAL(Minas de Corrales)
GTERRA(Central Rincón del Bonete),STACUA(Tacuarembó),MDIAZ(Manuel Díaz)
GTERRA(Central Rincón del Bonete),STACUA(Tacuarembó),MOIRON(Moirones)
GTERRA(Central Rincón del Bonete),STACUA(Tacuarembó),PATAQUES(Paso Ataques)
GTERRA(Central Rincón del Bonete),STACUA(Tacuarembó),PCARRETA(Paso de las Carretas)
GTERRA(Central Rincón del Bonete),STACUA(Tacuarembó),PCOELHO(Picada de Coelho)
GTERRA(Central Rincón del Bonete),STACUA(Tacuarembó),PCSAUCE(Puntas de Cinco Sauces)
GTERRA(Central Rincón del Bonete),STACUA(Tacuarembó),PLAGUNA(Paso Laguna)
GTERRA(Central Rincón del Bonete),STACUA(Tacuarembó),PMEDIO(Paso del Medio)
GTERRA(Central Rincón del Bonete),STACUA(Tacuarembó),PNOVIL(Paso de los Novillos)
GTERRA(Central Rincón del Bonete),STACUA(Tacuarembó),PTOSCAS(Paso de las Toscas)
GTERRA(Central Rincón del Bonete),STACUA(Tacuarembó),SANJOAQUIN(Aldea San Joaquín)
